,ds,y
3336,2017-11-17,1051.0
3337,2017-11-20,1038.7
3338,2017-11-21,1050.39
3339,2017-11-22,1055.43
3340,2017-11-24,1060.07
3341,2017-11-27,1073.04
3342,2017-11-28,1080.0
3343,2017-11-29,1058.77
3344,2017-11-30,1044.14
3345,2017-12-01,1037.24
3346,2017-12-04,1031.34
3347,2017-12-05,1036.68
3348,2017-12-06,1039.58
3349,2017-12-07,1048.92
3350,2017-12-08,1056.42
3351,2017-12-11,1056.0
3352,2017-12-12,1062.5
3353,2017-12-13,1055.48
3354,2017-12-14,1067.08
3355,2017-12-15,1075.25
3356,2017-12-18,1086.49
3357,2017-12-19,1084.97
3358,2017-12-20,1081.23
3359,2017-12-21,1077.52
3360,2017-12-22,1071.72
3361,2017-12-26,1068.86
3362,2017-12-27,1068.27
3363,2017-12-28,1064.84
3364,2017-12-29,1058.05
3365,2018-01-02,1075.98
3366,2018-01-03,1096.1
3367,2018-01-04,1104.08
3368,2018-01-05,1113.58
3369,2018-01-08,1119.16
3370,2018-01-09,1118.44
3371,2018-01-10,1112.78
3372,2018-01-11,1114.85
3373,2018-01-12,1131.3
3374,2018-01-16,1148.88
3375,2018-01-17,1139.32
3376,2018-01-18,1140.59
3377,2018-01-19,1143.78
3378,2018-01-22,1166.88
3379,2018-01-23,1178.51
3380,2018-01-24,1187.05
3381,2018-01-25,1185.0
3382,2018-01-26,1187.56
3383,2018-01-29,1198.0
3384,2018-01-30,1187.93
3385,2018-01-31,1186.32
3386,2018-02-01,1187.45
3387,2018-02-02,1131.3
3388,2018-02-05,1114.99
3389,2018-02-06,1087.38
3390,2018-02-07,1086.53
3391,2018-02-08,1063.93
3392,2018-02-09,1051.72
3393,2018-02-12,1065.57
3394,2018-02-13,1061.22
3395,2018-02-14,1075.47
3396,2018-02-15,1094.1
3397,2018-02-16,1108.31
3398,2018-02-20,1116.29
3399,2018-02-21,1136.2
3400,2018-02-22,1125.46
3401,2018-02-23,1129.0
3402,2018-02-26,1144.2
3403,2018-02-27,1144.25
3404,2018-02-28,1127.65
3405,2018-03-01,1111.27
3406,2018-03-02,1086.89
3407,2018-03-05,1101.18
3408,2018-03-06,1105.63
3409,2018-03-07,1116.2
3410,2018-03-08,1131.44
3411,2018-03-09,1161.0
3412,2018-03-12,1178.16
3413,2018-03-13,1178.0
